date,hbt,hb_name,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,percent_meeting_target
2021-07-01,S08000016,NHS Borders,B120H,Emergency Department,2667,2166,81.214848143982
2021-07-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1122,1027,91.53297682709447
2021-07-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2875,2362,82.15652173913044
2021-07-01,S08000029,NHS Fife,F704H,Emergency Department,5312,4247,79.95105421686746
2021-07-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,213,212,99.53051643192488
2021-07-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,240,238,99.16666666666667
2021-07-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1239,1237,99.83857949959645
2021-07-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1808,1804,99.77876106194691
2021-07-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5258,3620,68.8474705211107
2021-07-01,S08000020,NHS Grampian,N101H,Emergency Department,4289,3251,75.79855444159477
2021-07-01,S08000020,NHS Grampian,N121H,Emergency Department,1133,1110,97.96999117387467
2021-07-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,291,287,98.62542955326461
2021-07-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,408,408,100
2021-07-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,290,290,100
2021-07-01,S08000020,NHS Grampian,N411H,Emergency Department,2329,1862,79.94847574066122
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1418,1327,93.58251057827927
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2730,2401,87.94871794871794
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5634,4400,78.09726659566915
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7674,6325,82.42116236643211
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1982,1974,99.59636730575177
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2219,2219,100
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8348,5826,69.78917105893628
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5027,4980,99.06504873682117
2021-07-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,10,10,100
2021-07-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,669,658,98.35575485799701
2021-07-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,105,105,100
2021-07-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,376,373,99.20212765957447
2021-07-01,S08000022,NHS Highland,C121H,Emergency Department,784,745,95.02551020408163
2021-07-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,361,339,93.90581717451524
2021-07-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,19,19,100
2021-07-01,S08000022,NHS Highland,H103H,Emergency Department,848,799,94.22169811320755
2021-07-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,27,27,100
2021-07-01,S08000022,NHS Highland,H202H,Emergency Department,3206,2688,83.84279475982532
2021-07-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,266,265,99.62406015037594
2021-07-01,S08000022,NHS Highland,H212H,Emergency Department,1079,976,90.45412418906395
2021-07-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,428,428,100
2021-07-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,47,47,100
2021-07-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,75,75,100
2021-07-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,480,466,97.08333333333333
2021-07-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,80,80,100
2021-07-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,177,177,100
2021-07-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,6006,4380,72.92707292707293
2021-07-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5672,3896,68.68829337094499
2021-07-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,6538,4118,62.985622514530434
2021-07-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,127,127,100
2021-07-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3230,2383,73.77708978328174
2021-07-01,S08000024,NHS Lothian,S308H,Emergency Department,4960,4081,82.27822580645162
2021-07-01,S08000024,NHS Lothian,S314H,Emergency Department,10368,7373,71.1130401234568
2021-07-01,S08000024,NHS Lothian,S319H,Emergency Department,3857,3772,97.79621467461757
2021-07-01,S08000025,NHS Orkney,R103H,Emergency Department,555,541,97.47747747747748
2021-07-01,S08000026,NHS Shetland,Z102H,Emergency Department,626,608,97.12460063897763
2021-07-01,S08000030,NHS Tayside,T101H,Emergency Department,4624,4212,91.08996539792388
2021-07-01,S08000030,NHS Tayside,T202H,Emergency Department,1971,1825,92.5925925925926
2021-07-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,642,642,100
2021-07-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,321,321,100
2021-07-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,66,66,100
2021-07-01,S08000028,NHS Western Isles,W107H,Emergency Department,437,409,93.59267734553775
2021-07-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,137,137,100
2021-08-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,328,319,97.2560975609756
2021-08-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,143,139,97.2027972027972
2021-08-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5743,4523,78.7567473445934
2021-08-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2944,2277,77.34375
2021-08-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,84,84,100
2021-08-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,43,43,100
2021-08-01,S08000016,NHS Borders,B120H,Emergency Department,2668,1888,70.76461769115441
2021-08-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1170,1041,88.97435897435896
2021-08-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2833,2259,79.73879279915285
2021-08-01,S08000029,NHS Fife,F704H,Emergency Department,5453,4300,78.85567577480286
2021-08-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,194,193,99.48453608247422
2021-08-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,249,249,100
2021-08-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1146,1144,99.82547993019197
2021-08-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,2183,2177,99.72514887769125
2021-08-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5339,3431,64.26297059374416
2021-08-01,S08000020,NHS Grampian,N101H,Emergency Department,4469,3268,73.12597896621168
2021-08-01,S08000020,NHS Grampian,N121H,Emergency Department,1335,1283,96.10486891385767
2021-08-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,373,371,99.46380697050938
2021-08-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,433,428,98.84526558891456
2021-08-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,312,310,99.35897435897436
2021-08-01,S08000020,NHS Grampian,N411H,Emergency Department,2331,1928,82.7112827112827
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1346,1275,94.72511144130758
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2710,2129,78.5608856088561
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5613,4007,71.38784963477642
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7579,5773,76.17099881250824
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1975,1945,98.48101265822785
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2209,2208,99.95473064735174
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8025,4658,58.04361370716511
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5847,5500,94.06533264922182
2021-08-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,5,5,100
2021-08-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,687,665,96.79767103347889
2021-08-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,103,98,95.14563106796116
2021-08-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,419,408,97.3747016706444
2021-08-01,S08000022,NHS Highland,C121H,Emergency Department,815,743,91.16564417177914
2021-08-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,327,298,91.13149847094802
2021-08-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,12,12,100
2021-08-01,S08000022,NHS Highland,H103H,Emergency Department,817,752,92.04406364749082
2021-08-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,27,27,100
2021-08-01,S08000022,NHS Highland,H202H,Emergency Department,3187,2523,79.16535927204266
2021-08-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,287,287,100
2021-08-01,S08000022,NHS Highland,H212H,Emergency Department,982,876,89.20570264765783
2021-08-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,456,456,100
2021-08-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,57,57,100
2021-08-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,89,89,100
2021-08-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,396,388,97.97979797979798
2021-08-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,74,74,100
2021-08-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,168,168,100
2021-08-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,6121,4372,71.42623754288515
2021-08-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5632,3868,68.67897727272727
2021-08-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,6712,4233,63.06615017878426
2021-08-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,104,104,100
2021-08-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3312,2325,70.19927536231883
2021-08-01,S08000024,NHS Lothian,S308H,Emergency Department,5194,3997,76.95417789757413
2021-08-01,S08000024,NHS Lothian,S314H,Emergency Department,10786,6557,60.79176710550714
2021-08-01,S08000024,NHS Lothian,S319H,Emergency Department,4850,4636,95.58762886597938
2021-08-01,S08000025,NHS Orkney,R103H,Emergency Department,562,544,96.79715302491103
2021-08-01,S08000026,NHS Shetland,Z102H,Emergency Department,602,587,97.50830564784053
2021-08-01,S08000030,NHS Tayside,T101H,Emergency Department,4864,4408,90.625
2021-08-01,S08000030,NHS Tayside,T202H,Emergency Department,1954,1785,91.3510747185261
2021-08-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,723,723,100
2021-08-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,342,342,100
2021-08-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,48,48,100
2021-08-01,S08000028,NHS Western Isles,W107H,Emergency Department,479,465,97.07724425887265
2021-08-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,118,116,98.30508474576271
2021-09-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,243,238,97.94238683127571
2021-09-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,81,80,98.76543209876543
2021-09-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5269,3998,75.87777566900739
2021-09-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2493,1864,74.76935419173685
2021-09-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,47,47,100
2021-09-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,2,2,100
2021-09-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,28,28,100
2021-09-01,S08000016,NHS Borders,B120H,Emergency Department,2383,1801,75.577003776752
2021-09-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1064,951,89.3796992481203
2021-09-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2727,2200,80.67473414008067
2021-09-01,S08000029,NHS Fife,F704H,Emergency Department,5125,3779,73.73658536585366
2021-09-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,198,196,98.98989898989899
2021-09-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,271,271,100
2021-09-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1174,1173,99.91482112436117
2021-09-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,2237,2229,99.64237818506929
2021-09-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5363,3040,56.68469140406489
2021-09-01,S08000020,NHS Grampian,N101H,Emergency Department,4286,2991,69.78534764349044
2021-09-01,S08000020,NHS Grampian,N121H,Emergency Department,1548,1440,93.02325581395348
2021-09-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,306,304,99.34640522875817
2021-09-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,431,429,99.53596287703016
2021-09-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,289,288,99.65397923875432
2021-09-01,S08000020,NHS Grampian,N411H,Emergency Department,2276,1900,83.47978910369068
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1256,1170,93.15286624203821
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2536,1881,74.17192429022083
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4988,3554,71.25100240577386
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7304,4992,68.3461117196057
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1940,1904,98.14432989690721
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2113,2112,99.95267392333176
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7214,4039,55.98835597449404
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,6941,6357,91.58622676847716
2021-09-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,14,14,100
2021-09-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,593,516,87.01517706576728
2021-09-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,96,90,93.75
2021-09-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,290,282,97.24137931034483
2021-09-01,S08000022,NHS Highland,C121H,Emergency Department,743,690,92.86675639300135
2021-09-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,316,301,95.25316455696202
2021-09-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,12,12,100
2021-09-01,S08000022,NHS Highland,H103H,Emergency Department,749,681,90.92122830440587
2021-09-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,24,24,100
2021-09-01,S08000022,NHS Highland,H202H,Emergency Department,2989,2271,75.9785881565741
2021-09-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,281,280,99.644128113879
2021-09-01,S08000022,NHS Highland,H212H,Emergency Department,809,725,89.61681087762669
2021-09-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,381,378,99.21259842519686
2021-09-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,61,59,96.72131147540983
2021-09-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,10,10,100
2021-09-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,282,277,98.22695035460993
2021-09-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,72,72,100
2021-09-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,125,121,96.8
2021-09-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5870,4502,76.69505962521295
2021-09-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5281,3735,70.72524143154706
2021-09-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,6298,3836,60.908224833280414
2021-09-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3392,2158,63.62028301886793
2021-09-01,S08000024,NHS Lothian,S308H,Emergency Department,5155,3716,72.08535402521824
2021-09-01,S08000024,NHS Lothian,S314H,Emergency Department,10382,5870,56.54016567135427
2021-09-01,S08000024,NHS Lothian,S319H,Emergency Department,6042,5672,93.87619993379676
2021-09-01,S08000025,NHS Orkney,R103H,Emergency Department,532,510,95.86466165413535
2021-09-01,S08000026,NHS Shetland,Z102H,Emergency Department,531,519,97.74011299435028
2021-09-01,S08000030,NHS Tayside,T101H,Emergency Department,4895,4481,91.54239019407558
2021-09-01,S08000030,NHS Tayside,T202H,Emergency Department,1929,1816,94.14204250907206
2021-09-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,650,650,100
2021-09-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,305,305,100
2021-09-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,23,23,100
2021-09-01,S08000028,NHS Western Isles,W107H,Emergency Department,340,333,97.94117647058823
2021-09-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,79,78,98.73417721518987
2021-10-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,226,217,96.01769911504425
2021-10-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,81,81,100
2021-10-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5147,3844,74.68428210608121
2021-10-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2538,1834,72.26162332545312
2021-10-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,55,55,100
2021-10-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,23,23,100
2021-10-01,S08000016,NHS Borders,B120H,Emergency Department,2353,1786,75.90310242243945
2021-10-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,955,861,90.15706806282722
2021-10-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2555,1937,75.81213307240704
2021-10-01,S08000029,NHS Fife,F704H,Emergency Department,5039,3536,70.17265330422703
2021-10-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,138,134,97.10144927536231
2021-10-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,218,217,99.54128440366972
2021-10-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,970,968,99.79381443298969
2021-10-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1877,1874,99.8401704848162
2021-10-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5034,2380,47.27850615812475
2021-10-01,S08000020,NHS Grampian,N101H,Emergency Department,4223,2785,65.94837793038124
2021-10-01,S08000020,NHS Grampian,N121H,Emergency Department,1177,1113,94.5624468988955
2021-10-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,337,335,99.40652818991099
2021-10-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,475,473,99.57894736842105
2021-10-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,222,221,99.54954954954955
2021-10-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,20,20,100
2021-10-01,S08000020,NHS Grampian,N411H,Emergency Department,2066,1680,81.31655372700871
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1166,1067,91.50943396226415
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2325,1767,76
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4751,3027,63.712902546832254
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7204,4741,65.8106607440311
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1731,1728,99.8266897746967
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1917,1914,99.8435054773083
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7331,3845,52.448506342927296
2021-10-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,6234,5744,92.13987808790503
2021-10-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,557,552,99.10233393177738
2021-10-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,60,57,95
2021-10-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,234,229,97.86324786324786
2021-10-01,S08000022,NHS Highland,C121H,Emergency Department,662,611,92.29607250755288
2021-10-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,300,271,90.33333333333333
2021-10-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,4,4,100
2021-10-01,S08000022,NHS Highland,H103H,Emergency Department,752,666,88.56382978723404
2021-10-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,24,24,100
2021-10-01,S08000022,NHS Highland,H202H,Emergency Department,2861,2213,77.35057672142608
2021-10-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,229,228,99.56331877729258
2021-10-01,S08000022,NHS Highland,H212H,Emergency Department,738,675,91.46341463414635
2021-10-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,318,318,100
2021-10-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,66,66,100
2021-10-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,3,3,100
2021-10-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,284,282,99.29577464788733
2021-10-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,70,70,100
2021-10-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,101,99,98.01980198019803
2021-10-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5507,3875,70.36499001271109
2021-10-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5099,3414,66.95430476564033
2021-10-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5950,3471,58.336134453781504
2021-10-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3343,2163,64.70236314687406
2021-10-01,S08000024,NHS Lothian,S308H,Emergency Department,4694,3110,66.25479335321687
2021-10-01,S08000024,NHS Lothian,S314H,Emergency Department,10212,5733,56.13983548766157
2021-10-01,S08000024,NHS Lothian,S319H,Emergency Department,5068,4806,94.83030781373323
2021-10-01,S08000025,NHS Orkney,R103H,Emergency Department,457,436,95.40481400437638
2021-10-01,S08000026,NHS Shetland,Z102H,Emergency Department,544,521,95.77205882352942
2021-10-01,S08000030,NHS Tayside,T101H,Emergency Department,4874,4430,90.89043906442346
2021-10-01,S08000030,NHS Tayside,T202H,Emergency Department,1717,1611,93.82644146767618
2021-10-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,560,560,100
2021-10-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,276,276,100
2021-10-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,38,38,100
2021-10-01,S08000028,NHS Western Isles,W107H,Emergency Department,334,326,97.60479041916167
2021-10-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,66,65,98.48484848484848
2021-11-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,166,162,97.59036144578313
2021-11-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,44,42,95.45454545454545
2021-11-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,4861,3567,73.37996297058218
2021-11-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2165,1592,73.53348729792147
2021-11-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,61,61,100
2021-11-01,S08000016,NHS Borders,B120H,Emergency Department,2217,1543,69.59855660802887
2021-11-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,852,773,90.72769953051643
2021-11-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2407,1868,77.60697964270877
2021-11-01,S08000029,NHS Fife,F704H,Emergency Department,5046,3762,74.55410225921521
2021-11-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,143,137,95.8041958041958
2021-11-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,217,217,100
2021-11-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,939,939,100
2021-11-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1690,1689,99.94082840236686
2021-11-01,S08000019,NHS Forth Valley,V217H,Emergency Department,4750,2582,54.357894736842105
2021-11-01,S08000020,NHS Grampian,N101H,Emergency Department,3972,2327,58.58509566968782
2021-11-01,S08000020,NHS Grampian,N121H,Emergency Department,1306,1199,91.80704441041347
2021-11-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,360,359,99.72222222222223
2021-11-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,407,406,99.75429975429975
2021-11-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,218,213,97.70642201834863
2021-11-01,S08000020,NHS Grampian,N411H,Emergency Department,2023,1673,82.69896193771626
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1135,1067,94.00881057268722
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2286,1762,77.07786526684166
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4406,2916,66.18247843849296
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,6720,5103,75.9375
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1687,1684,99.8221695317131
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1872,1872,100
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7037,4245,60.32400170527213
2021-11-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,6486,5606,86.4323157570151
2021-11-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,538,530,98.51301115241635
2021-11-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,46,43,93.47826086956522
2021-11-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,255,249,97.6470588235294
2021-11-01,S08000022,NHS Highland,C121H,Emergency Department,595,570,95.7983193277311
2021-11-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,273,253,92.67399267399267
2021-11-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,2,2,100
2021-11-01,S08000022,NHS Highland,H103H,Emergency Department,773,680,87.96895213454074
2021-11-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,9,9,100
2021-11-01,S08000022,NHS Highland,H202H,Emergency Department,2621,2074,79.13010301411674
2021-11-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,232,231,99.56896551724138
2021-11-01,S08000022,NHS Highland,H212H,Emergency Department,630,562,89.20634920634922
2021-11-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,256,256,100
2021-11-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,40,40,100
2021-11-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,32,32,100
2021-11-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,231,231,100
2021-11-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,67,67,100
2021-11-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,76,76,100
